start,end,text
2.4,2.512,In
2.512,2.672,this
2.678,2.926,"lesson,"
2.958,3.118,we're
3.134,3.214,going
3.222,3.342,to
3.366,3.622,focus
3.686,4.054,on
4.142,4.63,alkali
4.67,5.29,metals.
5.79,6.326,Alkali
6.358,6.59,metals
6.63,6.758,can
6.774,6.878,be
6.894,7.166,found
7.238,7.542,in
7.606,7.806,the
7.838,8.078,first
8.134,8.774,column
8.902,9.19,of
9.23,9.382,the
9.406,9.846,periodic
9.878,10.45,table.
11.67,12.102,"Now,"
12.166,12.93,listed
13.27,13.678,are
13.734,14.238,some
14.374,15.174,properties
15.302,15.59,of
15.63,16.03,alkali
16.07,16.67,metals.
16.83,17.414,Like
17.542,17.806,all
17.838,18.158,"metals,"
18.214,18.358,they
18.374,18.526,can
18.558,18.966,conduct
19.038,19.382,heat
19.446,19.646,and
19.678,20.57,electricity.
21.63,22.142,Alkali
22.166,22.366,metals
22.398,22.518,are
22.534,22.758,very
22.814,23.39,soft.
23.51,23.766,They're
23.798,23.966,so
23.998,24.206,soft
24.238,24.358,that
24.374,24.478,you
24.494,24.622,can
24.646,24.806,cut
24.838,24.982,them
25.006,25.118,with
25.134,25.262,a
25.286,25.85,"knife,"
26.16,26.472,which
26.496,26.632,is
26.656,26.84,not
26.88,27.208,typical
27.264,27.696,of
27.808,28.08,many
28.12,28.74,metals.
29.72,30.056,They
30.088,30.304,also
30.352,30.512,have
30.536,30.648,a
30.664,30.864,low
30.912,31.62,density.
32.44,32.752,For
32.776,33.088,"instance,"
33.144,33.82,lithium
34.2,34.608,is
34.664,34.88,less
34.92,35.16,dense
35.2,35.4,than
35.44,36.02,water.
36.6,37.104,Lithium
37.152,37.384,can
37.432,37.904,actually
38.032,38.6,float
38.68,38.92,on
38.96,39.54,water.
41.04,41.376,They
41.408,41.6,also
41.64,41.84,have
41.88,42.056,low
42.088,42.384,melting
42.432,42.712,points
42.776,43.128,compared
43.184,43.856,to
44.048,44.424,most
44.472,44.704,other
44.752,45.0,common
45.04,45.66,metals.
46.76,47.432,"Cesium,"
47.496,47.72,for
47.76,48.168,"instance,"
48.264,48.472,has
48.496,48.584,a
48.592,48.864,melting
48.912,49.072,point
49.096,49.256,of
49.288,49.504,around
49.552,49.96,29
50.0,50.24,degrees
50.28,51.14,celsius.
55.49,55.826,"Now,"
55.858,56.026,they
56.058,56.346,also
56.418,56.77,have
56.85,57.066,a
57.098,57.362,large
57.426,57.906,atomic
57.938,58.67,radius.
60.29,60.85,Atomic
60.89,61.298,radius
61.354,61.938,increases
61.994,62.226,towards
62.258,62.378,the
62.394,62.95,"left,"
64.69,65.434,so
65.602,66.55,sodium
67.33,67.786,is
67.858,68.71,larger
69.13,69.874,than
70.042,71.07,magnesium.
71.57,71.882,As
71.906,71.994,you
72.002,72.098,go
72.114,72.218,to
72.234,72.338,the
72.354,72.506,"left,"
72.538,72.658,the
72.674,73.066,atomic
73.098,73.41,radius
73.45,74.31,increases.
75.29,75.626,So
75.658,75.986,alkali
76.018,76.274,"metals,"
76.322,76.482,they
76.506,76.618,have
76.634,76.714,a
76.722,77.29,relatively
77.33,77.722,large
77.826,78.266,atomic
78.298,78.746,radius
78.818,79.002,for
79.026,79.162,their
79.186,79.75,period.
80.99,81.278,That
81.294,81.422,"is,"
81.446,81.582,if
81.606,81.718,you
81.734,82.006,compare
82.038,82.182,them
82.206,82.366,with
82.398,82.638,other
82.694,83.118,elements
83.214,83.374,in
83.382,83.502,the
83.526,83.734,same
83.782,84.41,row.
87.23,87.83,Alkali
87.87,88.278,metals
88.374,88.678,also
88.734,88.878,have
88.894,89.022,a
89.046,89.23,low
89.27,89.798,ionization
89.894,90.53,energy.
91.31,91.974,Ionization
92.062,92.454,energy
92.542,93.53,increases
94.31,94.598,to
94.614,94.766,the
94.798,95.062,right
95.126,95.398,across
95.454,95.574,the
95.582,95.942,periodic
95.966,96.598,table.
96.774,97.062,So
97.086,97.198,that
97.214,97.39,means
97.43,97.654,that
97.702,98.45,sodium
98.79,99.174,has
99.222,99.382,a
99.406,99.646,lower
99.678,100.174,ionization
100.262,100.774,energy
100.902,101.262,than
101.326,102.21,magnesium.
105.28,105.64,"Now,"
105.68,106.056,alkali
106.088,106.48,metals
106.56,106.92,are
107.0,107.36,highly
107.4,108.26,reactive.
109.16,109.472,They
109.496,109.632,can
109.656,109.864,react
109.912,110.096,with
110.128,110.368,"water,"
110.424,110.824,producing
110.872,111.28,hydrogen
111.32,111.94,"gas,"
113.2,113.488,and
113.504,113.608,at
113.624,113.752,the
113.776,113.96,same
114.0,114.584,"time,"
114.752,115.008,they
115.024,115.152,can
115.176,115.36,create
115.4,116.4,"hydroxides,"
116.56,116.832,so
116.856,116.968,they
116.984,117.16,can
117.2,117.472,form
117.536,117.96,alkaline
118.0,118.7,solutions.
121.28,121.568,All
121.584,121.688,of
121.704,121.832,the
121.856,122.216,alkaline
122.248,122.504,"metals,"
122.552,122.712,they
122.736,123.072,possess
123.136,123.336,one
123.368,123.656,valence
123.728,124.54,electron.
125.52,125.808,And
125.824,125.976,so
126.008,126.152,they
126.176,126.288,have
126.304,126.384,a
126.392,126.776,very
126.888,127.256,low
127.328,128.656,electronegativity.
128.848,129.336,"They're,"
129.408,129.568,in
129.584,129.808,"fact,"
129.864,130.98,"electropositive,"
132.469,132.829,which
132.869,133.045,makes
133.077,133.293,them
