start,end,text
0,22, In this lesson we're going to focus on Alkaline Metals. Alkaline Metals can be found in the first column of the periodic table. Now listed are some properties of Alkaline Metals. Like all metals they can conduct heat and electricity. Alkaline
22,44," metals are very soft, they're so soft that you can cut them with a knife, which is not typical of many metals. They also have a low density. For instance, lithium is less dense than water. Lithium can actually float on water. They also have low melting points compared to most"
44,66," other common metals. Caesium, for instance, has a melting point of around 29 degrees Celsius. Now they also have a large atomic radius. Atomic radius increases towards the left. So sodium"
66,88, larger than magnesium. As you go to left the atomic radius increases. So alkylite metals they have a relatively large atomic radius for their period. That is if you compare them with other elements in the same row. Alkylite metals also have a
88,110," a low ionization energy. Ionization energy increases to the right across the periodic table. So that means that sodium has a lower ionization energy than magnesium. Now alkaline metals are highly reactive. They can react with water, produce in"
110,132, hydrogen gas and at the same time they can create hydroxides so they can form alkaline solutions. All of the alkaline metals they possess one valence electron and so they have a very low electronegativity. They're in fact electropositive which makes them
132,154, strong reducing agents. They really want to give up their valence electrons to have a complete octet. Lithium is one of the strongest reducing agents out there. It has a standard reduction potential of negative 3.05 volts.
154,176," Now let's get rid of that. So if we go to the periodic table, in the first column, the first element you're going to see is hydrogen. Below hydrogen we'll have the elements lithium, sodium, potassium, rubidium, cesium, and frantium."
176,198," The elements below hydrogen are considered the alkali metals. They can conduct electricity, they're soft, they have these properties. Hydrogen is considered to be a non-metal. At room temperature, hydrogen is actually a gas, so it's not a solid metal."
198,220," On a test, if you're asked if hydrogen is considered an alkali metal for the most part, it's not. However, hydrogen, like the other alkali metals, do contain only one valence electron, since they're all part of group 1."
220,242," Now, as you go down this group, the reactivity of the alkali metals increases. So what this means is that francium is more reactive than cesium. Cesium is more reactive than rubidium. In fact, cesium reacts violently with"
242,264, Now as you go down a group the melting point decreases. Caesium has a very low melting point and the same is true for Frantium. The boiling point also decreases as you go down a group. The density increases
264,286," decreases as you go down group 1. The first ionization energy was called IE1, that decreases as you go down the group. The electronegativity also decreases as you go down. So lithium is more electronegative than cesium."
286,308," which means cesium is more electropositive than lithium. The atomic radius, I'm going to put this here, the atomic radius increases as you go down and the same is true for the ionic radius. That increases as you go down."
308,330, down a group. So those are some trends that you need to be aware of when dealing with the Alkaline metals. Now let's go over some reactions with regard to the Alkaline metals.
330,352, Sodium can react with water to produce an alkaline solution. It will create sodium hydroxide and hydrogen gas. So to balance this equation we need to put a 2 in
352,374," in front of sodium, water, and sodium hydroxide. Lithium-Carriac were forwarded the same way. It will produce lithium hydroxide and hydrogen gas. So the alkaline metals are strong reducing agents. They like to give away their electrons to form metal cations."
374,396," When sodium gives away its electron, it will form a positive metal cation and the reduction potential for that, I wrote it down somewhere, it's 2.71 volts. If you reverse the reaction, it will be negative 2.71. That will give you the standard reduction potential."
396,418," Lithium is also a strong reducing agent. The weight written in the reduction potential here is 3.05. If you reverse it, you get the standard reduction potential of negative 3.05. But notice that lithium is a stronger reducing agent than sodium. It has a higher potential."
418,440," Now sodium can also react with chlorine gas to produce table salt, sodium chloride."
440,462," So to balance this we need to put a 2 in front of NA and NACL. Now the alkali metals, in addition to reacting with water, they can also react with air."
462,484, Lithium can react with excess oxygen gas to create lithium oxide Li2O. The oxide ion
484,506, It's represented by this formula O with a negative two charge Sodium Can also react with the oxygen gas and air to produce sodium oxide very similar to the previous reaction
506,528," But there's one slight difference here. When lithium reacts with excess oxygen, it creates lithium oxide. When sodium reacts with limited oxygen, it'll create sodium oxide as well."
528,550," But when sodium reacts with excess oxygen gas, we're going to get a different product. We're not going to get sodium oxide. We're going to get sodium per oxide."
550,572, So to balance this all we need is a 2 in front of sodium. Per oxide has this formula. It's O2 2 minus.
572,594," Now, if we take potassium and react it with oxygen gas, we're going to get potassium superoxide. So superoxide is O2 with a negative one charge. Whereas peroxide"
594,616," is O2 with a 2-minus charge. So keep that in mind. If you react sodium with limited oxygen, you get sodium oxide, but with excess oxygen, you get sodium peroxide. But when you react potassium with oxygen, you get super"
616,638, potassium superoxide. So those are some of the reactions that you might be tested on with regard to alkali metals. Now let's talk about the reactivity of alkali metals. The reactivity increases as you go down the group. So what that
638,660," What that means is that cesium is more reactive than lithium. Now let's understand why. So lithium, let me draw this differently. Let's say this is the nucleus of lithium."
660,682," This is the first shell and this is the second shell. The team has one valence electron in the second shell. CZM on the other hand, it's going to be much bigger. So this is the first energy level."
682,704," Let's say that's the second, third, fourth, fifth, and here is the sixth one."
704,726, CY cesium can give up its valence electron a lot easier than lithium. One reason for that is that this electron is very far away from the nucleus and so the pool that the nucleus have on this electron it's a lot weaker
